ID Number,Name,League,Team,Season,Birth Year,Position,Draft Year,Draft Position,NHL Team,Games Played,Goals,Assists,Points,PIMs,Points per Game,PIMS per Game,Shooting Percentage
006-01,Daniil Chayka,OHL,Guelph Storm,2019-20,2002,LHD,2021,38,VGK,56,11,23,34,18,0.6071428571,0.3214285714,9.6
006-02,Daniil Chayka,KHL,CSKA Moscow,2020-21,2002,LHD,2021,38,VGK,11,1,1,2,0,0.1818181818,0,11.1
006-03,Daniil Chayka,MHL,Krasnaya Armiya Moscow,2020-21,2002,LHD,2021,38,VGK,5,1,3,4,2,0.8,0.4,11.1
006-04,Daniil Chayka,VHL,Zvezda Chekhov,2020-21,2002,LHD,2021,38,VGK,10,0,1,1,0,0.1,0,0
006-05,Daniil Chayka,OHL,Guelph Storm,2021-22,2002,LHD,2021,38,VGK,53,7,32,39,22,0.7358490566,0.4150943396,4.5
006-06,Daniil Chayka,AHL,Henderson Silver Knights,2022-23,2002,LHD,2021,38,VGK,57,2,6,8,6,0.1403508772,0.1052631579,4.4
007-00,Ilya Fedotov,MHL,Chaika Nizhny Novgorod,2019-20,2003,LW,2021,43,ARZ,6,0,1,1,2,0.1666666667,0.3333333333,0
007-01,Ilya Fedotov,KHL,Torpedo Nizhny Novgorod,2020-21,2003,LW,2021,43,ARZ,2,0,0,0,0,0,0,0
007-02,Ilya Fedotov,MHL,Chaika Nizhny Novgorod,2020-21,2003,LW,2021,43,ARZ,54,18,20,38,28,0.7037037037,0.5185185185,12
007-03,Ilya Fedotov,KHL,Torpedo Nizhny Novgorod,2021-22,2003,LW,2021,43,ARZ,35,2,0,2,17,0.05714285714,0.4857142857,4.5
007-04,Ilya Fedotov,MHL,Chaika Nizhny Novgorod,2021-22,2003,LW,2021,43,ARZ,20,3,12,15,44,0.75,2.2,3.2
007-05,Ilya Fedotov,KHL,Torpedo Nizhny Novgorod,2022-23,2003,LW,2021,43,ARZ,2,0,0,0,0,0,0,0
007-06,Ilya Fedotov,MHL,Chaika Nizhny Novgorod,2022-23,2003,LW,2021,43,ARZ,11,6,3,9,8,0.8181818182,0.7272727273,9.7
007-07,Ilya Fedotov,KHL,Neftekhimik Nizhnekamsk,2022-23,2003,LW,2021,43,ARZ,40,9,5,14,20,0.35,0.5,12.2
